35,16,17,18,19,0,3,35
3,32,33,34,35,1,2,3
35,0,35,3,35,1,2,16
1,2,3,0,35,0,35,32
0,3,35,3,0,16,17,18
16,17,18,19,3,32,33,34
32,33,34,35,0,35,35,35
3,0,1,2,35,3,35,0
35,3,0,16,17,18,19,3
2,0,35,32,33,34,35,16
0,35,0,35,3,35,1,2
3,1,2,3,0,35,0,35
35,0,3,35,3,0,16,17
0,16,17,18,19,3,32,33
3,32,33,34,35,0,35,35
0,3,0,1,2,35,3,35
35,35,3,0,16,17,18,19
1,2,0,35,32,33,34,35
35,0,35,3,35,1,2,16
1,2,3,0,35,0,35,32
0,3,35,3,0,16,17,18
16,17,18,19,3,32,33,34
32,33,34,35,0,35,35,35
3,0,1,2,35,3,35,0
35,3,0,16,17,18,19,3
2,0,35,32,33,34,35,16
0,35,0,35,3,35,1,2
3,1,2,3,0,35,0,35
35,0,3,35,3,0,16,17
0,16,17,18,19,3,32,33
3,32,33,34,35,0,35,35
0,3,0,1,2,35,3,35
35,35,3,0,16,17,18,19
1,2,0,35,32,33,34,35
35,3,35,1,2,16,17,18
3,0,35,0,35,32,33,34
35,3,0,16,17,18,19,3
18,19,3,32,33,34,3,35
34,35,0,35,3,35,1,2
1,2,35,3,35,0,3,35
0,16,17,18,19,3,35,0
35,32,33,34,35,0,3,16
1,2,3,0,3,1,2,32
0,3,16,17,18,19,3,35
35,3,32,33,34,35,16,17
18,19,0,35,3,35,32,33
34,35,35,3,0,1,2,3
3,1,2,0,3,35,3,16
19,3,35,16,17,18,19,32
35,0,3,32,33,34,35,3
18,19,1,2,35,16,17,18
34,35,3,0,3,32,33,34
16,17,18,19,35,1,2,0
32,33,34,35,0,0,35,1
1,2,16,17,18,19,0,35
2,35,32,33,34,0,35,3
35,0,35,3,35,1,2,16
1,2,3,0,35,0,35,32
0,3,35,3,0,16,17,18
16,17,18,19,3,32,33,34
32,33,34,35,0,35,35,35
3,0,1,2,35,3,35,0
35,3,0,16,17,18,19,3
2,0,35,32,33,34,35,0
